Team,Score,Current Win Percentage,Over/Under Line,Spread Favorite
BAL,17.0,0.0,33.5,-10.5
BAL,31.0,0.5384615384615384,39.0,-11.0
BAL,24.0,0.6,38.5,-6.5
BUF,33.0,0.3333333333333333,46.5,-3.0
BUF,19.0,0.0,41.5,-3.0
BUF,9.0,0.25,38.0,-10.5
CIN,0.0,0.6,36.0,-1.0
CIN,45.0,0.6666666666666666,43.0,-2.0
CHI,6.0,0.0,33.5,10.5
CHI,7.0,0.38461538461538464,39.0,11.0
CHI,27.0,0.2,38.5,6.5
CHI,27.0,0.6666666666666666,46.5,3.0
CHI,22.0,0.5714285714285714,41.5,3.0
CHI,41.0,0.5714285714285714,38.0,10.5
CHI,24.0,0.75,36.0,1.0
CHI,10.0,0.6,43.0,2.0
